wrestler,opponent,wrestler_key,wrestler_score,opponent_key,opponent_score,_round,overtime,fall_time,result,winner,wrestler_seed,wrestler_school,opponent_seed,opponent_school,weight,opponent_weight,year
Owen Hibberd,Tony Venturini,Owen Hibberd,6,Tony Venturini,7,r32,,,DEC,Tony Venturini,12,Drexel,,Eastern Michigan,118,118,1992
Donnell Rawls,David Land,Donnell Rawls,13,David Land,7,r32,,,DEC,Tony Venturini,5,Appalachian State,,Maryland,118,118,1992
Eric Akin,Robbie Sordi,Eric Akin,8,Robbie Sordi,1,r32,,,DEC,Eric Akin,4,Iowa State,,Fresno State,118,118,1992
Scott Kindig,Greg Rudin,Scott Kindig,0,Greg Rudin,-1,r32,,4:16,F,Scott Kindig,,Millersville,,Illinois,118,118,1992
Mike Friedman,Jeff Prescott,Mike Friedman,1,Jeff Prescott,17,r32,,6:02,TF,Jeff Prescott,,Pennsylvania,1,Penn State,118,118,1992
Brian Slates,Erick Shaw,Brian Slates,6,Erick Shaw,5,r32,,,DEC,Brian Slates,,Lock Haven,,Old Dominion,118,118,1992
Matt Hanutke,Jeremie Eckley,Matt Hanutke,7,Jeremie Eckley,5,r32,,,DEC,Matt Hanutke,9,Wisconsin,,Nebraska,118,118,1992
Ty Moore,Mickey Nunez,Ty Moore,8,Mickey Nunez,0,r32,,,MD,Ty Moore,8,North Carolina,,Arizona State,118,118,1992
David Sims,Gabe Zirkelbach,David Sims,4,Gabe Zirkelbach,6,r32,1,,DEC,Gabe Zirkelbach,,Cornell,,Purdue,118,118,1992
Chad Zaputil,Thad Allen,Chad Zaputil,22,Thad Allen,7,r32,,7:00,TF,Chad Zaputil,2,Iowa,,Air Force,118,118,1992
Erik Burnett,Joey Dansby,Erik Burnett,9,Joey Dansby,6,r32,,,DEC,Erik Burnett,7,Clarion,,Cal Poly-SLO,118,118,1992
Jeff Mirabella,Mike Darlington,Jeff Mirabella,2,Mike Darlington,8,r32,,,DEC,Mike Darlington,,Northwestern,10,Duke,118,118,1992
Dan Vidlak,Casey Yackin,Dan Vidlak,12,Casey Yackin,1,r32,,,MD,Dan Vidlak,3,Oregon,,Ohio University,118,118,1992
Kevin Kinane,James Gallagher,Kevin Kinane,13,James Gallagher,4,r32,,,MD,Kevin Kinane,,California PA,,Boston College,118,118,1992
Eric Folkins,Tim Casey,Eric Folkins,0,Tim Casey,15,r32,,,TF,Tim Casey,,Minnesota,6,Bloomsburg,118,118,1992
Brad Bruhl,Charlie Morgan,Brad Bruhl,-2,Charlie Morgan,-1,r32,,0:46,F,Charlie Morgan,11,Northern Iowa,,Morgan State,118,118,1992
Tony Venturini,Donnell Rawls,Tony Venturini,2,Donnell Rawls,9,r16,,,DEC,Donnell Rawls,,Eastern Michigan,5,Appalachian State,118,118,1992
Eric Akin,Greg Rudin,Eric Akin,-1,Greg Rudin,-2,r16,,6:02,F,Eric Akin,4,Iowa State,,Illinois,118,118,1992
Jeff Prescott,Brian Slates,Jeff Prescott,-1,Brian Slates,-2,r16,,2:51,F,Jeff Prescott,1,Penn State,,Lock Haven,118,118,1992
Matt Hanutke,Ty Moore,Matt Hanutke,6,Ty Moore,4,r16,1,,DEC,Matt Hanutke,9,Wisconsin,8,North Carolina,118,118,1992
Gabe Zirkelbach,Chad Zaputil,Gabe Zirkelbach,2,Chad Zaputil,10,r16,,,MD,Chad Zaputil,,Purdue,2,Iowa,118,118,1992
Erik Burnett,Mike Darlington,Erik Burnett,6,Mike Darlington,1,r16,,,DEC,Erik Burnett,7,Clarion,10,Duke,118,118,1992
Dan Vidlak,Kevin Kinane,Dan Vidlak,8,Kevin Kinane,10,r16,1,,DEC,Kevin Kinane,3,Oregon,,California PA,118,118,1992
Tim Casey,Charlie Morgan,Tim Casey,13,Charlie Morgan,2,r16,,,MD,Tim Casey,6,Bloomsburg,,Morgan State,118,118,1992
Donnell Rawls,Eric Akin,Donnell Rawls,15,Eric Akin,5,r8,,,MD,Donnell Rawls,5,Appalachian State,4,Iowa State,118,118,1992
Jeff Prescott,Matt Hanutke,Jeff Prescott,12,Matt Hanutke,3,r8,,,MD,Jeff Prescott,1,Penn State,9,Wisconsin,118,118,1992
Chad Zaputil,Erik Burnett,Chad Zaputil,17,Erik Burnett,6,r8,,,MD,Chad Zaputil,2,Iowa,7,Clarion,118,118,1992
Kevin Kinane,Tim Casey,Kevin Kinane,5,Tim Casey,4,r8,,,DEC,Kevin Kinane,,California PA,6,Bloomsburg,118,118,1992
Donnell Rawls,Jeff Prescott,Donnell Rawls,6,Jeff Prescott,13,r4,,,DEC,Jeff Prescott,5,Appalachian State,1,Penn State,118,118,1992
Chad Zaputil,Kevin Kinane,Chad Zaputil,12,Kevin Kinane,4,r4,,,MD,Chad Zaputil,2,Iowa,,California PA,118,118,1992
Jeff Prescott,Chad Zaputil,Jeff Prescott,2,Chad Zaputil,0,m1,,,DEC,Jeff Prescott,1,Penn State,2,Iowa,118,118,1992
David Land,Tony Venturini,David Land,5,Tony Venturini,4,c1,,,DEC,David Land,,Maryland,,Eastern Michigan,118,118,1992
Robbie Sordi,Greg Rudin,Robbie Sordi,5,Greg Rudin,3,c1,1,,DEC,Robbie Sordi,,Fresno State,,Illinois,118,118,1992
Mike Friedman,Brian Slates,Mike Friedman,11,Brian Slates,3,c1,,,MD,Mike Friedman,,Pennsylvania,,Lock Haven,118,118,1992
Jeremie Eckley,Ty Moore,Jeremie Eckley,6,Ty Moore,9,c1,,,DEC,Ty Moore,,Nebraska,8,North Carolina,118,118,1992
Thad Allen,Gabe Zirkelbach,Thad Allen,11,Gabe Zirkelbach,4,c1,,,DEC,Thad Allen,,Air Force,,Purdue,118,118,1992
Joey Dansby,Mike Darlington,Joey Dansby,3,Mike Darlington,6,c1,,,DEC,Mike Darlington,,Cal Poly-SLO,10,Duke,118,118,1992
James Gallagher,Dan Vidlak,James Gallagher,5,Dan Vidlak,20,c1,,6:00,TF,Dan Vidlak,,Boston College,3,Oregon,118,118,1992
Eric Folkins,Charlie Morgan,Eric Folkins,11,Charlie Morgan,3,c1,,,MD,Eric Folkins,,Minnesota,,Morgan State,118,118,1992
David Land,Robbie Sordi,David Land,9,Robbie Sordi,7,c2,1,,DEC,David Land,,Maryland,,Fresno State,118,118,1992
Mike Friedman,Ty Moore,Mike Friedman,0,Ty Moore,4,c2,,,DEC,Ty Moore,,Pennsylvania,8,North Carolina,118,118,1992
Thad Allen,Mike Darlington,Thad Allen,6,Mike Darlington,3,c2,,,DEC,Thad Allen,,Air Force,10,Duke,118,118,1992
Dan Vidlak,Eric Folkins,Dan Vidlak,3,Eric Folkins,4,c2,,,DEC,Eric Folkins,3,Oregon,,Minnesota,118,118,1992
David Land,Tim Casey,David Land,13,Tim Casey,7,br,,,DEC,David Land,,Maryland,6,Bloomsburg,118,118,1992
Ty Moore,Erik Burnett,Ty Moore,2,Erik Burnett,8,br,,,DEC,Erik Burnett,8,North Carolina,7,Clarion,118,118,1992
Thad Allen,Matt Hanutke,Thad Allen,3,Matt Hanutke,8,br,,,DEC,Matt Hanutke,,Air Force,9,Wisconsin,118,118,1992
Eric Folkins,Eric Akin,Eric Folkins,4,Eric Akin,16,br,,,MD,Eric Akin,,Minnesota,4,Iowa State,118,118,1992
David Land,Erik Burnett,David Land,2,Erik Burnett,3,c4,,,DEC,Erik Burnett,,Maryland,7,Clarion,118,118,1992
Matt Hanutke,Eric Akin,Matt Hanutke,0,Eric Akin,4,c4,,,DEC,Eric Akin,9,Wisconsin,4,Iowa State,118,118,1992
Erik Burnett,Donnell Rawls,Erik Burnett,4,Donnell Rawls,5,cs,,,DEC,Donnell Rawls,7,Clarion,5,Appalachian State,118,118,1992
Eric Akin,Kevin Kinane,Eric Akin,4,Kevin Kinane,1,cs,,,DEC,Eric Akin,4,Iowa State,,California PA,118,118,1992
Eric Akin,Donnell Rawls,Eric Akin,5,Donnell Rawls,1,m3,,,DEC,Eric Akin,4,Iowa State,5,Appalachian State,118,118,1992
Erik Burnett,Kevin Kinane,Erik Burnett,6,Kevin Kinane,5,m5,,,DEC,Erik Burnett,7,Clarion,,California PA,118,118,1992
Matt Hanutke,David Land,Matt Hanutke,8,David Land,5,m7,,,DEC,Matt Hanutke,9,Wisconsin,,Maryland,118,118,1992
David Hirsch,Neil Kohlberg,David Hirsch,3,Neil Kohlberg,2,r32,,,DEC,David Hirsch,12,Cornell,,Northwestern,126,126,1992
Jody Staylor,Dane Campbell,Jody Staylor,-1,Dane Campbell,-2,r32,,6:44,F,Jody Staylor,5,North Carolina,,Miami Ohio,126,126,1992
Dan Flood,Vinnie Santaniello,Dan Flood,12,Vinnie Santaniello,3,r32,,,MD,Dan Flood,4,Wisconsin,,Lock Haven,126,126,1992
Dave Gustovich,Buddy Smith,Dave Gustovich,13,Buddy Smith,4,r32,,,MD,Dave Gustovich,,Brown,,Missouri,126,126,1992
T.J. Jaworsky,Scott Rosas,T.J. Jaworsky,-1,Scott Rosas,-2,r32,,1:44,F,T.J. Jaworsky,9,Oklahoma State,,Millersville,126,126,1992
Shawn Harrison,Mike Krafchick,Shawn Harrison,10,Mike Krafchick,7,r32,,,DEC,Shawn Harrison,8,Oklahoma,,Virginia,126,126,1992
Shane Roselle,Scott Rohrer,Shane Roselle,10,Scott Rohrer,4,r32,,,DEC,Shane Roselle,,Cal State-Bakersfield,,Minnesota,126,126,1992
Terry Brands,Jarrett Clark,Terry Brands,-1,Jarrett Clark,-2,r32,,1:43,F,Terry Brands,1,Iowa,,Oregon,126,126,1992
Jason Cluff,Vance Light,Jason Cluff,8,Vance Light,1,r32,,,DEC,Jason Cluff,,Michigan,,Drake,126,126,1992
Shawn Charles,Andy Showalter,Shawn Charles,12,Andy Showalter,5,r32,,,DEC,Shawn Charles,2,Arizona State,,Northern Iowa,126,126,1992
Noel Clavel,Brett Porter,Noel Clavel,4,Brett Porter,8,r32,,,DEC,Brett Porter,7,Old Dominion,,Edinboro,126,126,1992
Marcus Gowens,Dan Smith,Marcus Gowens,4,Dan Smith,1,r32,,,DEC,Marcus Gowens,10,Notre Dame,,Boston University,126,126,1992
Shawn Nelson,Mike Hunter,Shawn Nelson,13,Mike Hunter,0,r32,,,MD,Shawn Nelson,6,Penn State,,Ohio University,126,126,1992
Mike Pasdo,Brett Raimondo,Mike Pasdo,13,Brett Raimondo,4,r32,,,MD,Mike Pasdo,11,Marquette,,Central Connecticut,126,126,1992
Steve Millward,Brian Mason,Steve Millward,14,Brian Mason,8,r32,,,DEC,Steve Millward,,West Virginia,,Virginia Military,126,126,1992
Bye,Babak Mohammadi,Bye,-4,Babak Mohammadi,-3,r32,,,DFT,Babak Mohammadi,,Bye,3,Oregon State,126,126,1992
David Hirsch,Jody Staylor,David Hirsch,3,Jody Staylor,5,r16,,,DEC,Jody Staylor,12,Cornell,5,North Carolina,126,126,1992
Dan Flood,Dave Gustovich,Dan Flood,16,Dave Gustovich,1,r16,,,TF,Dan Flood,4,Wisconsin,,Brown,126,126,1992
T.J. Jaworsky,Shawn Harrison,T.J. Jaworsky,4,Shawn Harrison,8,r16,,,DEC,Shawn Harrison,9,Oklahoma State,8,Oklahoma,126,126,1992
Scott Rohrer,Terry Brands,Scott Rohrer,8,Terry Brands,23,r16,,4:59,TF,Terry Brands,,Minnesota,1,Iowa,126,126,1992
Jason Cluff,Shawn Charles,Jason Cluff,7,Shawn Charles,15,r16,,,MD,Shawn Charles,,Michigan,2,Arizona State,126,126,1992
Brett Porter,Marcus Gowens,Brett Porter,7,Marcus Gowens,6,r16,,,DEC,Brett Porter,,Edinboro,10,Notre Dame,126,126,1992
Shawn Nelson,Mike Pasdo,Shawn Nelson,5,Mike Pasdo,4,r16,,,DEC,Shawn Nelson,6,Penn State,11,Marquette,126,126,1992
Steve Millward,Babak Mohammadi,Steve Millward,3,Babak Mohammadi,7,r16,,,DEC,Babak Mohammadi,,West Virginia,3,Oregon State,126,126,1992
Jody Staylor,Dan Flood,Jody Staylor,2,Dan Flood,1,r8,,,DEC,Jody Staylor,5,North Carolina,4,Wisconsin,126,126,1992
Shawn Harrison,Terry Brands,Shawn Harrison,-2,Terry Brands,-1,r8,,2:54,F,Terry Brands,8,Oklahoma,1,Iowa,126,126,1992
Shawn Charles,Brett Porter,Shawn Charles,16,Brett Porter,5,r8,,,MD,Shawn Charles,2,Arizona State,,Edinboro,126,126,1992
Shawn Nelson,Babak Mohammadi,Shawn Nelson,5,Babak Mohammadi,7,r8,,,DEC,Babak Mohammadi,6,Penn State,3,Oregon State,126,126,1992
Jody Staylor,Terry Brands,Jody Staylor,6,Terry Brands,9,r4,,,DEC,Terry Brands,5,North Carolina,1,Iowa,126,126,1992
Shawn Charles,Babak Mohammadi,Shawn Charles,13,Babak Mohammadi,9,r4,,,DEC,Shawn Charles,2,Arizona State,3,Oregon State,126,126,1992
Terry Brands,Shawn Charles,Terry Brands,8,Shawn Charles,5,m1,,,DEC,Terry Brands,1,Iowa,2,Arizona State,126,126,1992
Dane Campbell,David Hirsch,Dane Campbell,4,David Hirsch,13,c1,,,MD,David Hirsch,,Miami Ohio,12,Cornell,126,126,1992
Vinnie Santaniello,Dave Gustovich,Vinnie Santaniello,9,Dave Gustovich,0,c1,,,MD,Vinnie Santaniello,,Lock Haven,,Brown,126,126,1992
Mike Krafchick,T.J. Jaworsky,Mike Krafchick,8,T.J. Jaworsky,5,c1,,,DEC,Mike Krafchick,,Virginia,9,Oklahoma State,126,126,1992
Jarrett Clark,Scott Rohrer,Jarrett Clark,2,Scott Rohrer,5,c1,,,DEC,Scott Rohrer,,Oregon,,Minnesota,126,126,1992
Andy Showalter,Jason Cluff,Andy Showalter,8,Jason Cluff,5,c1,,,DEC,Andy Showalter,,Northern Iowa,,Michigan,126,126,1992
Noel Clavel,Marcus Gowens,Noel Clavel,4,Marcus Gowens,12,c1,,,MD,Marcus Gowens,7,Old Dominion,10,Notre Dame,126,126,1992
Mike Hunter,Mike Pasdo,Mike Hunter,1,Mike Pasdo,2,c1,,,DEC,Mike Pasdo,,Ohio University,11,Marquette,126,126,1992
Bye,Steve Millward,Bye,-4,Steve Millward,-3,c1,,,DFT,Steve Millward,,Bye,,West Virginia,126,126,1992
David Hirsch,Vinnie Santaniello,David Hirsch,12,Vinnie Santaniello,4,c2,,,MD,David Hirsch,12,Cornell,,Lock Haven,126,126,1992
Mike Krafchick,Scott Rohrer,Mike Krafchick,8,Scott Rohrer,2,c2,,,DEC,Mike Krafchick,,Virginia,,Minnesota,126,126,1992
Andy Showalter,Marcus Gowens,Andy Showalter,2,Marcus Gowens,10,c2,,,MD,Marcus Gowens,,Northern Iowa,10,Notre Dame,126,126,1992
Mike Pasdo,Steve Millward,Mike Pasdo,1,Steve Millward,2,c2,,,DEC,Steve Millward,11,Marquette,,West Virginia,126,126,1992
David Hirsch,Shawn Nelson,David Hirsch,1,Shawn Nelson,6,br,,,DEC,Shawn Nelson,12,Cornell,6,Penn State,126,126,1992
Mike Krafchick,Brett Porter,Mike Krafchick,1,Brett Porter,3,br,,,DEC,Brett Porter,,Virginia,,Edinboro,126,126,1992
Marcus Gowens,Shawn Harrison,Marcus Gowens,5,Shawn Harrison,11,br,,,DEC,Shawn Harrison,10,Notre Dame,8,Oklahoma,126,126,1992
Steve Millward,Dan Flood,Steve Millward,1,Dan Flood,10,br,,,MD,Dan Flood,,West Virginia,4,Wisconsin,126,126,1992
Shawn Nelson,Brett Porter,Shawn Nelson,-1,Brett Porter,-2,c4,,3:23,F,Shawn Nelson,6,Penn State,,Edinboro,126,126,1992
Shawn Harrison,Dan Flood,Shawn Harrison,3,Dan Flood,2,c4,,,DEC,Shawn Harrison,8,Oklahoma,4,Wisconsin,126,126,1992
Shawn Nelson,Jody Staylor,Shawn Nelson,-1,Jody Staylor,-2,cs,,5:40,F,Shawn Nelson,6,Penn State,5,North Carolina,126,126,1992
Shawn Harrison,Babak Mohammadi,Shawn Harrison,13,Babak Mohammadi,11,cs,,,DEC,Shawn Harrison,8,Oklahoma,3,Oregon State,126,126,1992
Shawn Harrison,Shawn Nelson,Shawn Harrison,12,Shawn Nelson,4,m3,,,MD,Shawn Harrison,8,Oklahoma,6,Penn State,126,126,1992
Babak Mohammadi,Jody Staylor,Babak Mohammadi,6,Jody Staylor,5,m5,,,DEC,Babak Mohammadi,3,Oregon State,5,North Carolina,126,126,1992
Dan Flood,Brett Porter,Dan Flood,-1,Brett Porter,-2,m7,,5:02,F,Dan Flood,4,Wisconsin,,Harvard,126,126,1992
Dan Carcelli,Pat Matsuda,Dan Carcelli,2,Pat Matsuda,6,r32,,,DEC,Pat Matsuda,,Cleveland State,,Cal State-Bakersfield,134,134,1992
Bob Truby,Sam Cole,Bob Truby,7,Sam Cole,2,r32,,,DEC,Bob Truby,4,Penn State,,Harvard,134,134,1992
Scott Hassel,Steve Marianetti,Scott Hassel,5,Steve Marianetti,4,r32,,,DEC,Scott Hassel,12,Northern Iowa,,Illinois,134,134,1992
Pete Horst,Brad Rozanski,Pete Horst,7,Brad Rozanski,5,r32,,,DEC,Pete Horst,5,Old Dominion,,Bloomsburg,134,134,1992
Lyndon Campbell,Ray Serbick,Lyndon Campbell,7,Ray Serbick,5,r32,,,DEC,Lyndon Campbell,8,Cal State-Fullerton,,Eastern Illinois,134,134,1992
Harold Zinkin,Eric Kimble,Harold Zinkin,5,Eric Kimble,7,r32,,,DEC,Eric Kimble,9,Fresno State,,Ohio University,134,134,1992
William Gay,Phil Elliott,William Gay,6,Phil Elliott,12,r32,,,DEC,Phil Elliott,,Oklahoma,,Bucknell,134,134,1992
Tom Brands,Jody Jackson,Tom Brands,-1,Jody Jackson,-2,r32,,4:48,F,Tom Brands,1,Iowa,,Virginia,134,134,1992
Ron Pieper,Jason Gregersen,Ron Pieper,8,Jason Gregersen,12,r32,,,DEC,Jason Gregersen,,Wisconsin,,Wyoming,134,134,1992
Alan Fried,Steve Krouse,Alan Fried,-1,Steve Krouse,-2,r32,,6:59,F,Alan Fried,2,Oklahoma State,,Clarion,134,134,1992
Marco Sanchez,Tim Harris,Marco Sanchez,13,Tim Harris,3,r32,,,MD,Marco Sanchez,7,Arizona State,,Minnesota,134,134,1992
Mike Moreno,Erik Saunders,Mike Moreno,7,Erik Saunders,0,r32,,,DEC,Mike Moreno,10,Iowa State,,Seton Hall,134,134,1992
Todd Hammerle,Clayton Grice,Todd Hammerle,4,Clayton Grice,6,r32,,,DEC,Clayton Grice,,SUNY-Buffalo,,North Carolina State,134,134,1992
Joey Gilbert,Eric DeVenney,Joey Gilbert,-1,Eric DeVenney,-2,r32,,0:57,F,Joey Gilbert,3,Michigan,,Missouri,134,134,1992
Mark Fergeson,Jay Manson,Mark Fergeson,10,Jay Manson,1,r32,,,MD,Mark Fergeson,6,Cornell,,California PA,134,134,1992
Bye,Dave Warnick,Bye,-4,Dave Warnick,-3,r32,,,DFT,Dave Warnick,,Bye,11,Army,134,134,1992
Pat Matsuda,Bob Truby,Pat Matsuda,1,Bob Truby,11,r16,,,MD,Bob Truby,,Cal State-Bakersfield,4,Penn State,134,134,1992
Scott Hassel,Brad Rozanski,Scott Hassel,5,Brad Rozanski,7,r16,1,,DEC,Brad Rozanski,12,Northern Iowa,,Bloomsburg,134,134,1992
Lyndon Campbell,Eric Kimble,Lyndon Campbell,3,Eric Kimble,2,r16,,,DEC,Lyndon Campbell,8,Cal State-Fullerton,,Ohio University,134,134,1992
Phil Elliott,Tom Brands,Phil Elliott,9,Tom Brands,23,r16,,,MD,Tom Brands,,Bucknell,1,Iowa,134,134,1992
Jason Gregersen,Alan Fried,Jason Gregersen,7,Alan Fried,20,r16,,,MD,Alan Fried,,Wyoming,2,Oklahoma State,134,134,1992
Marco Sanchez,Mike Moreno,Marco Sanchez,1,Mike Moreno,2,r16,,,DEC,Mike Moreno,7,Arizona State,10,Iowa State,134,134,1992
Clayton Grice,Joey Gilbert,Clayton Grice,5,Joey Gilbert,17,r16,,,MD,Joey Gilbert,,North Carolina State,3,Michigan,134,134,1992
Mark Fergeson,Dave Warnick,Mark Fergeson,14,Dave Warnick,1,r16,,,MD,Mark Fergeson,6,Cornell,11,Army,134,134,1992
Bob Truby,Brad Rozanski,Bob Truby,10,Brad Rozanski,0,r8,,,MD,Bob Truby,4,Penn State,,Bloomsburg,134,134,1992
Lyndon Campbell,Tom Brands,Lyndon Campbell,7,Tom Brands,16,r8,,,MD,Tom Brands,8,Cal State-Fullerton,1,Iowa,134,134,1992
Alan Fried,Mike Moreno,Alan Fried,6,Mike Moreno,2,r8,,,DEC,Alan Fried,2,Oklahoma State,10,Iowa State,134,134,1992
Joey Gilbert,Mark Fergeson,Joey Gilbert,3,Mark Fergeson,5,r8,1,,DEC,Mark Fergeson,3,Michigan,6,Cornell,134,134,1992
Bob Truby,Tom Brands,Bob Truby,4,Tom Brands,15,r4,,,MD,Tom Brands,4,Penn State,1,Iowa,134,134,1992
